project_id,project_name,location,approved_budget,actual_spend,approval_flag,capitalization_rule,start_date,planned_end_date,actual_end_date,expected_roi,supporting_docs_flag,budget_variance,budget_variance_pct,delay_days
CAPEX-1086,Aggregate Value-Added Communities,Plant A,234563.0,248745.69,1,Capitalize,2026-01-31,2026-08-22,2026-12-02,0.172,1,14182.690000000002,0.06,102
CAPEX-1087,Re-Contextualize Extensible Models,Plant B,125815.0,181376.8,1,Expense,2026-04-04,2026-09-03,2026-12-09,0.309,0,55561.79999999999,0.442,97
CAPEX-1088,Re-Intermediate Robust E-Business,Plant C,363991.0,234573.59,1,Expense,2025-12-17,2026-02-13,2026-05-07,0.277,1,-129417.41,-0.356,83
CAPEX-1089,Brand Cross-Media Functionalities,Plant A,115081.0,92908.93,1,Expense,2025-06-28,2026-02-19,2026-05-22,0.162,1,-22172.070000000007,-0.193,92
CAPEX-1090,Incubate Synergistic Info-Mediaries,HQ,370158.0,183209.95,1,Review Required,2026-02-28,2026-09-22,2027-01-19,0.082,1,-186948.05,-0.505,119
CAPEX-1091,Deploy End-To-End Platforms,Plant C,481692.0,549397.27,1,Capitalize,2026-01-18,2026-08-09,2026-10-03,0.176,1,67705.27000000002,0.141,55
CAPEX-1092,Implement Distributed E-Markets,Plant A,82067.0,90356.84,1,Expense,2026-02-15,2026-09-16,2026-09-19,-0.094,0,8289.839999999997,0.101,3
CAPEX-1093,Expedite World-Class Architectures,Plant C,41515.0,50062.13,0,Capitalize,2025-05-08,2025-10-09,2025-12-09,0.037,1,8547.129999999997,0.206,61
CAPEX-1094,Seize Granular E-Business,Plant A,328655.0,462987.66,1,Capitalize,2025-08-05,2025-12-16,2026-01-05,0.036,1,134332.65999999997,0.409,20
CAPEX-1095,Harness Vertical E-Business,Plant C,16152.0,22906.6,1,Capitalize,2026-03-28,2026-11-19,2027-02-03,0.011,1,6754.5999999999985,0.418,76
CAPEX-1096,Revolutionize Innovative Action-Items,Plant A,32882.0,45526.54,0,Capitalize,2026-02-02,2026-06-28,2026-10-07,-0.085,1,12644.54,0.385,101
CAPEX-1097,Grow Cutting-Edge E-Markets,HQ,179445.0,124973.15,1,Expense,2025-08-15,2026-01-26,2026-03-14,0.25,1,-54471.850000000006,-0.304,47
CAPEX-1098,Whiteboard Compelling E-Markets,Plant A,136211.0,155779.69,0,Capitalize,2026-04-18,2026-12-13,2026-12-05,0.088,1,19568.690000000002,0.144,-8
CAPEX-1099,Generate Customized Portals,HQ,487902.0,558835.71,1,Capitalize,2025-06-18,2025-09-10,2025-12-21,0.168,1,70933.70999999996,0.145,102
CAPEX-1100,Benchmark Mission-Critical Content,HQ,446832.0,537384.47,1,Capitalize,2026-01-22,2026-06-19,2026-07-26,0.189,1,90552.46999999997,0.203,37
CAPEX-1101,Transition Integrated Partnerships,HQ,453963.0,231936.57,0,Capitalize,2026-04-26,2026-10-31,2026-11-25,0.254,1,-222026.43,-0.489,25
CAPEX-1102,Embrace Wireless Relationships,Plant B,87703.0,97246.9,1,Capitalize,2026-05-07,2026-10-29,2026-10-29,0.215,1,9543.899999999994,0.109,0
CAPEX-1103,Embrace Compelling Technologies,Plant A,53424.0,12304.97,1,Review Required,2025-05-08,2025-09-28,2025-12-26,-0.006,1,-41119.03,-0.77,89
CAPEX-1104,Engage 24/365 Partnerships,Plant B,457951.0,431894.14,0,Capitalize,2026-03-09,2026-08-22,2026-10-20,0.11,1,-26056.859999999986,-0.057,59
CAPEX-1105,Leverage Proactive Interfaces,Plant A,184807.0,100317.63,1,Capitalize,2025-12-15,2026-08-01,2026-11-10,0.096,1,-84489.37,-0.457,101
CAPEX-1106,Disintermediate Efficient Paradigms,HQ,164519.0,114534.4,1,Review Required,2026-01-19,2026-03-11,2026-04-20,-0.005,1,-49984.600000000006,-0.304,40
CAPEX-1107,Deploy User-Centric Schemas,Plant A,428804.0,412620.9,1,Capitalize,2025-05-23,2025-11-28,2026-02-13,0.191,0,-16183.099999999977,-0.038,77
CAPEX-1108,Exploit Viral Applications,HQ,463933.0,304421.72,1,Capitalize,2026-01-25,2026-06-09,2026-08-08,-0.081,1,-159511.28000000003,-0.344,60
CAPEX-1109,Synergize Cross-Platform Eyeballs,HQ,444480.0,582095.27,1,Capitalize,2026-03-16,2026-08-03,2026-08-08,0.335,1,137615.27000000002,0.31,5
CAPEX-1110,Optimize User-Centric E-Commerce,HQ,375850.0,503283.81,0,Capitalize,2026-02-04,2026-09-27,2027-01-16,0.294,0,127433.81,0.339,111
CAPEX-1111,Transition Distributed Markets,Plant A,72749.0,62786.23,1,Capitalize,2025-11-08,2026-01-23,2026-05-11,0.053,1,-9962.769999999997,-0.137,108
CAPEX-1112,Engineer Integrated Web-Readiness,Plant B,196261.0,244568.05,1,Capitalize,2025-08-13,2026-02-27,2026-03-23,0.232,1,48307.04999999999,0.246,24
CAPEX-1113,Mesh Virtual Initiatives,HQ,448450.0,319489.49,1,Capitalize,2025-12-21,2026-03-08,2026-03-02,0.144,1,-128960.51000000001,-0.288,-6
CAPEX-1114,Evolve E-Business Deliverables,Plant C,329712.0,379593.16,1,Capitalize,2026-04-26,2026-12-27,2027-04-23,0.18,1,49881.159999999974,0.151,117
CAPEX-1115,Empower Transparent Applications,HQ,223443.0,275454.27,0,Capitalize,2025-10-31,2026-05-17,2026-09-02,0.032,1,52011.27000000002,0.233,108
CAPEX-1116,Empower Bleeding-Edge Networks,Plant B,324973.0,414035.2,1,Expense,2025-11-27,2026-02-06,2026-02-05,0.285,1,89062.20000000001,0.274,-1
CAPEX-1117,Extend Visionary Niches,Plant A,48447.0,68852.52,1,Review Required,2026-01-19,2026-06-02,2026-09-26,0.259,1,20405.520000000004,0.421,116
CAPEX-1118,Facilitate Strategic Infrastructures,HQ,265130.0,326327.48,1,Expense,2025-12-20,2026-08-06,2026-09-13,0.198,1,61197.47999999998,0.231,38
CAPEX-1119,Re-Contextualize B2B Web Services,HQ,277438.0,256924.92,1,Capitalize,2025-06-06,2025-08-26,2025-11-27,-0.038,1,-20513.079999999987,-0.074,93
CAPEX-1120,Deliver Web-Enabled E-Tailers,HQ,235069.0,84762.89,1,Expense,2026-01-21,2026-07-19,2026-08-01,0.003,1,-150306.11,-0.639,13
CAPEX-1121,Synthesize Compelling Paradigms,Plant B,159667.0,203290.47,1,Review Required,2025-07-17,2025-11-01,2025-11-24,0.169,1,43623.47,0.273,23
CAPEX-1122,Re-Intermediate 24/365 Mindshare,Plant B,413528.0,309248.6,1,Capitalize,2025-08-25,2026-01-10,2026-04-03,0.142,1,-104279.40000000002,-0.252,83
CAPEX-1123,Iterate Bleeding-Edge Paradigms,Plant A,472482.0,111993.86,1,Capitalize,2025-11-27,2026-04-26,2026-08-20,0.002,1,-360488.14,-0.763,116
CAPEX-1124,Engineer Scalable Channels,Plant B,61003.0,22473.94,1,Capitalize,2025-06-19,2025-09-07,2025-10-04,0.137,1,-38529.06,-0.632,27
CAPEX-1125,Engage Customized Convergence,Plant A,294527.0,83126.63,1,Capitalize,2025-07-12,2025-12-01,2026-01-25,0.298,0,-211400.37,-0.718,55
CAPEX-1126,Grow Cross-Platform Experiences,Plant B,339680.0,454926.97,1,Capitalize,2025-09-27,2026-05-15,2026-09-10,0.089,1,115246.96999999997,0.339,118
CAPEX-1127,Empower Dot-Com E-Tailers,Plant B,222878.0,205272.93,1,Capitalize,2025-08-15,2025-09-29,2025-10-21,0.1,0,-17605.070000000007,-0.079,22
CAPEX-1128,Cultivate One-To-One Networks,Plant A,271949.0,253254.57,0,Capitalize,2025-12-08,2026-02-09,2026-01-24,0.279,1,-18694.429999999993,-0.069,-16
CAPEX-1129,Enhance Vertical Relationships,Plant C,288336.0,403834.12,1,Capitalize,2025-06-17,2025-08-30,2025-12-26,0.234,0,115498.12,0.401,118
CAPEX-1130,Strategize Customized Networks,Plant B,444465.0,489642.34,1,Capitalize,2026-05-02,2026-09-24,2026-10-08,-0.055,1,45177.340000000026,0.102,14
CAPEX-1131,Engineer Value-Added Models,Plant A,224299.0,111492.96,1,Expense,2025-09-28,2026-03-02,2026-05-19,0.326,1,-112806.04,-0.503,78
CAPEX-1132,Aggregate Interactive Convergence,Plant C,126494.0,103218.27,1,Capitalize,2026-01-18,2026-06-01,2026-06-28,0.162,1,-23275.729999999996,-0.184,27
CAPEX-1133,Synthesize Interactive Communities,Plant A,175239.0,89927.0,0,Capitalize,2025-07-19,2026-01-23,2026-05-14,0.031,1,-85312.0,-0.487,111
CAPEX-1134,Benchmark Vertical E-Markets,HQ,496624.0,358198.15,1,Capitalize,2025-05-20,2025-09-13,2026-01-01,0.003,0,-138425.84999999998,-0.279,110
CAPEX-1135,Architect Back-End Niches,HQ,255948.0,185172.21,1,Review Required,2025-09-25,2026-03-13,2026-04-22,0.162,1,-70775.79000000001,-0.277,40
CAPEX-1136,Implement Distributed Functionalities,Plant B,59651.0,22967.69,1,Expense,2025-06-18,2026-01-06,2026-02-08,0.138,1,-36683.31,-0.615,33
CAPEX-1137,Repurpose World-Class Models,HQ,141631.0,116648.62,1,Capitalize,2025-11-28,2026-05-19,2026-07-08,0.037,1,-24982.380000000005,-0.176,50
CAPEX-1138,Synthesize Innovative Relationships,HQ,362375.0,252692.7,1,Capitalize,2025-12-02,2026-04-28,2026-08-24,-0.06,1,-109682.29999999999,-0.303,118
CAPEX-1139,Leverage Dynamic Communities,HQ,363475.0,203898.45,1,Capitalize,2026-01-27,2026-07-31,2026-09-27,0.274,0,-159576.55,-0.439,58
CAPEX-1140,Engage Bleeding-Edge Methodologies,Plant A,185534.0,230021.09,1,Capitalize,2025-05-08,2025-08-14,2025-08-18,0.238,1,44487.09,0.24,4
CAPEX-1141,Unleash Turn-Key E-Tailers,HQ,53302.0,74296.58,1,Expense,2025-06-13,2025-10-15,2025-09-29,-0.034,1,20994.58,0.394,-16
CAPEX-1142,Innovate Ubiquitous Applications,Plant A,495470.0,259506.43,1,Capitalize,2026-04-16,2026-06-11,2026-06-22,-0.025,1,-235963.57,-0.476,11
CAPEX-1143,Grow B2C Interfaces,Plant A,273656.0,246024.65,1,Capitalize,2026-05-07,2026-06-09,2026-08-20,0.227,1,-27631.350000000006,-0.101,72
CAPEX-1144,Evolve Virtual Content,Plant A,207960.0,162287.96,1,Capitalize,2026-03-23,2026-11-20,2026-12-22,0.343,0,-45672.04000000001,-0.22,32
CAPEX-1145,Expedite Intuitive Deliverables,Plant B,446042.0,275670.08,1,Capitalize,2025-08-30,2026-03-31,2026-03-17,0.33,1,-170371.91999999998,-0.382,-14
CAPEX-1146,Facilitate Leading-Edge Metrics,Plant B,182633.0,57165.75,1,Expense,2025-09-16,2026-04-08,2026-05-16,0.181,0,-125467.25,-0.687,38
CAPEX-1147,Streamline Efficient E-Markets,HQ,46771.0,26549.08,1,Capitalize,2025-10-15,2025-11-14,2025-11-30,-0.039,1,-20221.92,-0.432,16
CAPEX-1148,Maximize Cutting-Edge Convergence,HQ,67007.0,19792.7,1,Capitalize,2026-03-26,2026-09-18,2026-12-29,-0.002,0,-47214.3,-0.705,102
CAPEX-1149,Synthesize Transparent Platforms,Plant A,173376.0,37032.5,1,Expense,2025-06-08,2026-01-26,2026-01-20,0.317,1,-136343.5,-0.786,-6
CAPEX-1150,Transform Seamless Action-Items,Plant B,108889.0,78276.83,1,Expense,2026-05-20,2026-12-23,2027-02-26,0.321,1,-30612.17,-0.281,65
CAPEX-1151,Re-Contextualize Value-Added Markets,Plant B,366302.0,236384.74,1,Expense,2025-07-25,2025-10-22,2025-11-28,0.242,1,-129917.26000000001,-0.355,37
CAPEX-1152,Re-Contextualize Proactive E-Services,Plant B,219211.0,88630.65,1,Expense,2025-09-17,2026-03-08,2026-04-14,0.04,1,-130580.35,-0.596,37
CAPEX-1153,Aggregate World-Class Mindshare,Plant B,394873.0,90970.77,1,Capitalize,2025-06-24,2026-01-18,2026-03-21,-0.09,1,-303902.23,-0.77,62
CAPEX-1154,Disintermediate Extensible Platforms,Plant C,28947.0,12117.27,1,Expense,2025-05-11,2025-10-14,2025-10-18,0.144,1,-16829.73,-0.581,4
CAPEX-1155,Seize Real-Time Initiatives,HQ,112370.0,83428.89,1,Expense,2025-11-19,2026-04-21,2026-07-24,0.048,1,-28941.11,-0.258,94
CAPEX-1156,Synthesize Intuitive Roi,Plant B,286844.0,284074.52,1,Capitalize,2026-04-29,2026-08-29,2026-09-04,0.203,1,-2769.4799999999814,-0.01,6
CAPEX-1157,Morph Vertical Users,Plant C,223148.0,237308.2,1,Capitalize,2026-01-30,2026-05-28,2026-09-02,-0.02,1,14160.200000000012,0.063,97
CAPEX-1158,Harness E-Business E-Markets,Plant B,374342.0,332384.78,1,Capitalize,2026-04-07,2026-09-07,2026-11-14,0.121,1,-41957.21999999997,-0.112,68
CAPEX-1159,Harness Ubiquitous Relationships,Plant C,272766.0,344834.52,1,Capitalize,2025-10-15,2026-03-27,2026-06-16,0.211,1,72068.52000000002,0.264,81
