exception_id,project_id,project_name,location,risk_score,risk_level,exception_summary,recommended_action,financial_exposure,status
EX-CAPEX-1193,CAPEX-1193,Seize Open-Source Web-Readiness,Plant A,74,High,Budget overrun 24.9%; Project delayed by 50 days; Low ROI -0.7%; Missing supporting documents,"Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",39015.81,Open
EX-CAPEX-1031,CAPEX-1031,Utilize Compelling Channels,Plant B,73,High,Budget overrun 28.4%; Project delayed by 65 days; Low ROI -2.3%; Capitalization rule requires review,Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case; Finance review required for capitalization vs expense treatment,40359.45,Open
EX-CAPEX-1199,CAPEX-1199,Benchmark Seamless Channels,Plant A,72,High,Budget overrun 22.8%; Project delayed by 83 days; Low ROI -1.8%; Missing supporting documents,"Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",113493.37,Open
EX-CAPEX-1197,CAPEX-1197,Expedite Visionary Action-Items,Plant C,70,High,Budget overrun 35.6%; Low ROI -2.8%; Missing supporting documents,"Request variance explanation and approval; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",45230.63,Open
EX-CAPEX-1002,CAPEX-1002,Monetize Wireless Partnerships,HQ,70,High,Budget overrun 37.7%; Project delayed by 54 days; Missing supporting documents,"Request variance explanation and approval; Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",17241.08,Open
EX-CAPEX-1087,CAPEX-1087,Re-Contextualize Extensible Models,Plant B,70,High,Budget overrun 44.2%; Project delayed by 97 days; Missing supporting documents,"Request variance explanation and approval; Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",55561.8,Open
EX-CAPEX-1129,CAPEX-1129,Enhance Vertical Relationships,Plant C,70,High,Budget overrun 40.1%; Project delayed by 118 days; Missing supporting documents,"Request variance explanation and approval; Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",115498.12,Open
EX-CAPEX-1208,CAPEX-1208,Morph Collaborative Systems,Plant A,69,High,Budget overrun 19.4%; Project delayed by 31 days; Low ROI 0.9%; Missing supporting documents,"Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",8670.98,Open
EX-CAPEX-1248,CAPEX-1248,Monetize Best-Of-Breed Paradigms,Plant B,69,High,Budget overrun 19.9%; Project delayed by 93 days; Low ROI -0.5%; Missing supporting documents,"Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",78592.09,Open
EX-CAPEX-1012,CAPEX-1012,Extend Efficient Methodologies,Plant B,69,High,Budget overrun 24.1%; Project delayed by 67 days; Low ROI -1.3%; Capitalization rule requires review,Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case; Finance review required for capitalization vs expense treatment,62865.29,Open
EX-CAPEX-1034,CAPEX-1034,Utilize One-To-One Channels,Plant A,65,High,Budget overrun 41.5%; Project delayed by 74 days; Low ROI 4.2%,Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case,165381.4,Open
EX-CAPEX-1049,CAPEX-1049,Reinvent Cross-Platform Synergies,Plant A,65,High,Budget overrun 40.6%; Project delayed by 91 days; Low ROI -5.8%,Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case,180539.56,Open
EX-CAPEX-1178,CAPEX-1178,Re-Contextualize Vertical Models,HQ,65,High,Missing approval; Project delayed by 71 days; Low ROI 1.1%,Hold further spend until approval is obtained; Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1007,CAPEX-1007,Whiteboard Viral Vortals,HQ,65,High,Budget overrun 43.5%; Project delayed by 55 days; Low ROI 1.8%,Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case,11161.63,Open
EX-CAPEX-1239,CAPEX-1239,Enable Bleeding-Edge Channels,Plant A,65,High,Budget overrun 37.5%; Project delayed by 91 days; Low ROI 3.2%,Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case,56409.13,Open
EX-CAPEX-1095,CAPEX-1095,Harness Vertical E-Business,Plant C,65,High,Budget overrun 41.8%; Project delayed by 76 days; Low ROI 1.1%,Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case,6754.6,Open
EX-CAPEX-1133,CAPEX-1133,Synthesize Interactive Communities,Plant A,65,High,Missing approval; Project delayed by 111 days; Low ROI 3.1%,Hold further spend until approval is obtained; Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1204,CAPEX-1204,Disintermediate Real-Time Synergies,HQ,65,High,Budget overrun 30.1%; Project delayed by 82 days; Missing supporting documents,"Request variance explanation and approval; Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",52558.59,Open
EX-CAPEX-1210,CAPEX-1210,Expedite Real-Time Models,HQ,65,High,Budget overrun 36.8%; Project delayed by 112 days; Capitalization rule requires review,Request variance explanation and approval; Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,60316.91,Open
EX-CAPEX-1117,CAPEX-1117,Extend Visionary Niches,Plant A,65,High,Budget overrun 42.1%; Project delayed by 116 days; Capitalization rule requires review,Request variance explanation and approval; Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,20405.52,Open
EX-CAPEX-1017,CAPEX-1017,Cultivate Compelling Vortals,Plant A,64,High,Budget overrun 34.0%; Low ROI -1.6%; Capitalization rule requires review,Request variance explanation and approval; Revalidate the business case; Finance review required for capitalization vs expense treatment,61084.11,Open
EX-CAPEX-1192,CAPEX-1192,Deliver Proactive E-Services,Plant A,61,High,Budget overrun 11.8%; Low ROI -2.7%; Missing supporting documents; Capitalization rule requires review,"Request variance explanation and approval; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate; Finance review required for capitalization vs expense treatment",28670.17,Open
EX-CAPEX-1014,CAPEX-1014,Expedite Global E-Services,Plant B,59,Medium,Budget overrun 29.6%; Project delayed by 94 days; Low ROI -6.7%,Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case,53145.57,Open
EX-CAPEX-1201,CAPEX-1201,Envisioneer Magnetic Niches,Plant C,58,Medium,Budget overrun 28.3%; Project delayed by 33 days; Capitalization rule requires review,Request variance explanation and approval; Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,2097.34,Open
EX-CAPEX-1225,CAPEX-1225,Revolutionize Rich Functionalities,Plant A,55,Medium,Missing approval; Missing supporting documents,"Hold further spend until approval is obtained; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1148,CAPEX-1148,Maximize Cutting-Edge Convergence,HQ,50,Medium,Project delayed by 102 days; Low ROI -0.2%; Missing supporting documents,"Review delivery plan and capitalization timing; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1061,CAPEX-1061,Re-Intermediate Vertical Infrastructures,Plant B,50,Medium,Budget overrun 39.0%; Low ROI -4.5%,Request variance explanation and approval; Revalidate the business case,21342.11,Open
EX-CAPEX-1180,CAPEX-1180,Reinvent Rich Markets,Plant C,50,Medium,Project delayed by 40 days; Low ROI -7.2%; Missing supporting documents,"Review delivery plan and capitalization timing; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1141,CAPEX-1141,Unleash Turn-Key E-Tailers,HQ,50,Medium,Budget overrun 39.4%; Low ROI -3.4%,Request variance explanation and approval; Revalidate the business case,20994.58,Open
EX-CAPEX-1083,CAPEX-1083,Strategize Extensible Functionalities,Plant B,50,Medium,Project delayed by 52 days; Low ROI -8.5%; Missing supporting documents,"Review delivery plan and capitalization timing; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1215,CAPEX-1215,Transform Next-Generation Web-Readiness,Plant A,50,Medium,Missing approval; Project delayed by 80 days,Hold further spend until approval is obtained; Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1217,CAPEX-1217,Envisioneer Visionary Methodologies,Plant B,50,Medium,Missing approval; Capitalization rule requires review,Hold further spend until approval is obtained; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1164,CAPEX-1164,Generate Granular E-Business,HQ,50,Medium,Missing approval; Project delayed by 79 days,Hold further spend until approval is obtained; Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1056,CAPEX-1056,Unleash Dot-Com Vortals,Plant B,50,Medium,Budget overrun 40.4%; Project delayed by 54 days,Request variance explanation and approval; Review delivery plan and capitalization timing,166601.03,Open
EX-CAPEX-1134,CAPEX-1134,Benchmark Vertical E-Markets,HQ,50,Medium,Project delayed by 110 days; Low ROI 0.3%; Missing supporting documents,"Review delivery plan and capitalization timing; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1213,CAPEX-1213,Engineer Front-End Channels,Plant A,50,Medium,Budget overrun 39.5%; Project delayed by 37 days,Request variance explanation and approval; Review delivery plan and capitalization timing,96134.36,Open
EX-CAPEX-1104,CAPEX-1104,Engage 24/365 Partnerships,Plant B,50,Medium,Missing approval; Project delayed by 59 days,Hold further spend until approval is obtained; Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1057,CAPEX-1057,Brand Clicks-And-Mortar Solutions,Plant C,50,Medium,Budget overrun 44.0%; Project delayed by 68 days,Request variance explanation and approval; Review delivery plan and capitalization timing,13706.14,Open
EX-CAPEX-1094,CAPEX-1094,Seize Granular E-Business,Plant A,50,Medium,Budget overrun 40.9%; Low ROI 3.6%,Request variance explanation and approval; Revalidate the business case,134332.66,Open
EX-CAPEX-1237,CAPEX-1237,Cultivate Robust Functionalities,HQ,50,Medium,Budget overrun 36.3%; Low ROI 0.9%,Request variance explanation and approval; Revalidate the business case,9831.59,Open
EX-CAPEX-1008,CAPEX-1008,Engage Dynamic Action-Items,Plant C,50,Medium,Budget overrun 44.2%; Project delayed by 98 days,Request variance explanation and approval; Review delivery plan and capitalization timing,42890.24,Open
EX-CAPEX-1041,CAPEX-1041,Unleash Interactive Methodologies,HQ,50,Medium,Missing approval; Project delayed by 104 days,Hold further spend until approval is obtained; Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1019,CAPEX-1019,Transition Strategic Deliverables,Plant B,50,Medium,Budget overrun 35.0%; Project delayed by 58 days,Request variance explanation and approval; Review delivery plan and capitalization timing,34788.27,Open
EX-CAPEX-1240,CAPEX-1240,Extend E-Business Technologies,HQ,50,Medium,Budget overrun 44.0%; Project delayed by 67 days,Request variance explanation and approval; Review delivery plan and capitalization timing,58408.98,Open
EX-CAPEX-1018,CAPEX-1018,Brand Killer Experiences,HQ,50,Medium,Low ROI -10.0%; Missing supporting documents; Capitalization rule requires review,"Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate; Finance review required for capitalization vs expense treatment",1269.41,Open
EX-CAPEX-1037,CAPEX-1037,Whiteboard Visionary E-Services,Plant B,50,Medium,Missing approval; Project delayed by 81 days,Hold further spend until approval is obtained; Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1045,CAPEX-1045,Re-Contextualize 24/7 Initiatives,HQ,50,Medium,Budget overrun 40.9%; Project delayed by 77 days,Request variance explanation and approval; Review delivery plan and capitalization timing,198230.91,Open
EX-CAPEX-1010,CAPEX-1010,Expedite Viral Schemas,Plant B,50,Medium,Project delayed by 84 days; Low ROI -6.0%; Missing supporting documents,"Review delivery plan and capitalization timing; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1027,CAPEX-1027,Engage Distributed Schemas,Plant C,50,Medium,Missing approval; Project delayed by 78 days,Hold further spend until approval is obtained; Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1006,CAPEX-1006,Architect Compelling Paradigms,Plant C,50,Medium,Missing approval; Low ROI -9.7%,Hold further spend until approval is obtained; Revalidate the business case,0.0,Open
EX-CAPEX-1236,CAPEX-1236,Syndicate Turn-Key Functionalities,Plant B,49,Medium,Budget overrun 19.3%; Project delayed by 53 days; Capitalization rule requires review,Request variance explanation and approval; Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,19531.47,Open
EX-CAPEX-1098,CAPEX-1098,Whiteboard Compelling E-Markets,Plant A,49,Medium,Missing approval; Budget overrun 14.4%,Hold further spend until approval is obtained; Request variance explanation and approval,19568.69,Open
EX-CAPEX-1230,CAPEX-1230,Strategize Integrated E-Commerce,Plant C,48,Medium,Budget overrun 33.0%; Project delayed by 86 days,Request variance explanation and approval; Review delivery plan and capitalization timing,39584.34,Open
EX-CAPEX-1126,CAPEX-1126,Grow Cross-Platform Experiences,Plant B,48,Medium,Budget overrun 33.9%; Project delayed by 118 days,Request variance explanation and approval; Review delivery plan and capitalization timing,115246.97,Open
EX-CAPEX-1184,CAPEX-1184,Embrace Robust Markets,HQ,47,Medium,Budget overrun 32.0%; Project delayed by 73 days,Request variance explanation and approval; Review delivery plan and capitalization timing,94677.95,Open
EX-CAPEX-1183,CAPEX-1183,Visualize One-To-One E-Markets,Plant A,45,Medium,Project delayed by 87 days; Low ROI -2.9%; Capitalization rule requires review,Review delivery plan and capitalization timing; Revalidate the business case; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1103,CAPEX-1103,Embrace Compelling Technologies,Plant A,45,Medium,Project delayed by 89 days; Low ROI -0.6%; Capitalization rule requires review,Review delivery plan and capitalization timing; Revalidate the business case; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1106,CAPEX-1106,Disintermediate Efficient Paradigms,HQ,45,Medium,Project delayed by 40 days; Low ROI -0.5%; Capitalization rule requires review,Review delivery plan and capitalization timing; Revalidate the business case; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1172,CAPEX-1172,Embrace Robust Relationships,Plant C,45,Medium,Project delayed by 56 days; Low ROI 3.5%; Capitalization rule requires review,Review delivery plan and capitalization timing; Revalidate the business case; Finance review required for capitalization vs expense treatment,1824.27,Open
EX-CAPEX-1092,CAPEX-1092,Implement Distributed E-Markets,Plant A,45,Medium,Budget overrun 10.1%; Low ROI -9.4%; Missing supporting documents,"Request variance explanation and approval; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",8289.84,Open
EX-CAPEX-1241,CAPEX-1241,Incubate User-Centric Web Services,Plant B,43,Medium,Budget overrun 29.0%; Project delayed by 82 days,Request variance explanation and approval; Review delivery plan and capitalization timing,137912.36,Open
EX-CAPEX-1195,CAPEX-1195,Whiteboard Sticky Initiatives,Plant A,42,Medium,Budget overrun 27.0%; Low ROI -3.8%,Request variance explanation and approval; Revalidate the business case,26485.09,Open
EX-CAPEX-1121,CAPEX-1121,Synthesize Compelling Paradigms,Plant B,42,Medium,Budget overrun 27.3%; Capitalization rule requires review,Request variance explanation and approval; Finance review required for capitalization vs expense treatment,43623.47,Open
EX-CAPEX-1182,CAPEX-1182,Empower E-Business Web-Readiness,Plant C,41,Medium,Budget overrun 26.1%; Low ROI 4.8%,Request variance explanation and approval; Revalidate the business case,62055.18,Open
EX-CAPEX-1053,CAPEX-1053,Transition Intuitive Markets,Plant C,41,Medium,Budget overrun 21.4%; Missing supporting documents,"Request variance explanation and approval; Attach quotation, approval memo, invoice, and completion certificate",21208.18,Open
EX-CAPEX-1159,CAPEX-1159,Harness Ubiquitous Relationships,Plant C,41,Medium,Budget overrun 26.4%; Project delayed by 81 days,Request variance explanation and approval; Review delivery plan and capitalization timing,72068.52,Open
EX-CAPEX-1209,CAPEX-1209,Seize Sticky Channels,Plant C,39,Medium,Budget overrun 19.2%; Missing supporting documents,"Request variance explanation and approval; Attach quotation, approval memo, invoice, and completion certificate",63903.59,Open
EX-CAPEX-1118,CAPEX-1118,Facilitate Strategic Infrastructures,HQ,38,Medium,Budget overrun 23.1%; Project delayed by 38 days,Request variance explanation and approval; Review delivery plan and capitalization timing,61197.48,Open
EX-CAPEX-1219,CAPEX-1219,Integrate End-To-End E-Markets,HQ,36,Medium,Budget overrun 16.2%; Missing supporting documents,"Request variance explanation and approval; Attach quotation, approval memo, invoice, and completion certificate",56011.97,Open
EX-CAPEX-1026,CAPEX-1026,Streamline Seamless Eyeballs,Plant C,35,Medium,Missing supporting documents; Capitalization rule requires review,"Attach quotation, approval memo, invoice, and completion certificate; Finance review required for capitalization vs expense treatment",0.0,Open
EX-CAPEX-1107,CAPEX-1107,Deploy User-Centric Schemas,Plant A,35,Medium,Project delayed by 77 days; Missing supporting documents,"Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1125,CAPEX-1125,Engage Customized Convergence,Plant A,35,Medium,Project delayed by 55 days; Missing supporting documents,"Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1100,CAPEX-1100,Benchmark Mission-Critical Content,HQ,35,Medium,Budget overrun 20.3%; Project delayed by 37 days,Request variance explanation and approval; Review delivery plan and capitalization timing,90552.47,Open
EX-CAPEX-1128,CAPEX-1128,Cultivate One-To-One Networks,Plant A,35,Medium,Missing approval,Hold further spend until approval is obtained,0.0,Open
EX-CAPEX-1139,CAPEX-1139,Leverage Dynamic Communities,HQ,35,Medium,Project delayed by 58 days; Missing supporting documents,"Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1144,CAPEX-1144,Evolve Virtual Content,Plant A,35,Medium,Project delayed by 32 days; Missing supporting documents,"Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1146,CAPEX-1146,Facilitate Leading-Edge Metrics,Plant B,35,Medium,Project delayed by 38 days; Missing supporting documents,"Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1163,CAPEX-1163,Innovate End-To-End Roi,HQ,35,Medium,Missing supporting documents; Capitalization rule requires review,"Attach quotation, approval memo, invoice, and completion certificate; Finance review required for capitalization vs expense treatment",0.0,Open
EX-CAPEX-1101,CAPEX-1101,Transition Integrated Partnerships,HQ,35,Medium,Missing approval,Hold further spend until approval is obtained,0.0,Open
EX-CAPEX-1188,CAPEX-1188,Transform Cross-Media Channels,Plant B,35,Medium,Project delayed by 97 days; Missing supporting documents,"Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1226,CAPEX-1226,Target Robust Deliverables,Plant A,35,Medium,Project delayed by 83 days; Missing supporting documents,"Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1233,CAPEX-1233,Engage B2B Models,Plant A,35,Medium,Project delayed by 53 days; Missing supporting documents,"Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1238,CAPEX-1238,Exploit Visionary Portals,Plant B,35,Medium,Project delayed by 51 days; Missing supporting documents,"Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1232,CAPEX-1232,Empower Cutting-Edge Roi,Plant A,35,Medium,Project delayed by 45 days; Missing supporting documents,"Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1051,CAPEX-1051,Architect Visionary Content,Plant A,35,Medium,Project delayed by 119 days; Missing supporting documents,"Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1231,CAPEX-1231,Redefine Clicks-And-Mortar Channels,HQ,35,Medium,Missing supporting documents; Capitalization rule requires review,"Attach quotation, approval memo, invoice, and completion certificate; Finance review required for capitalization vs expense treatment",0.0,Open
EX-CAPEX-1062,CAPEX-1062,Embrace Scalable Initiatives,HQ,35,Medium,Project delayed by 41 days; Missing supporting documents,"Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1190,CAPEX-1190,Extend Intuitive Networks,Plant C,34,Low,Budget overrun 19.6%; Low ROI 0.6%,Request variance explanation and approval; Revalidate the business case,89680.05,Open
EX-CAPEX-1109,CAPEX-1109,Synergize Cross-Platform Eyeballs,HQ,31,Low,Budget overrun 31.0%,Request variance explanation and approval,137615.27,Open
EX-CAPEX-1015,CAPEX-1015,Generate Scalable Methodologies,Plant A,30,Low,Project delayed by 71 days; Low ROI 2.9%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1196,CAPEX-1196,Expedite Synergistic Relationships,Plant C,30,Low,Project delayed by 116 days; Low ROI 0.4%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1077,CAPEX-1077,Repurpose Strategic Experiences,HQ,30,Low,Project delayed by 91 days; Low ROI -0.2%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1205,CAPEX-1205,Re-Contextualize Sticky Architectures,HQ,30,Low,Project delayed by 82 days; Low ROI 2.4%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1202,CAPEX-1202,Generate Best-Of-Breed Technologies,HQ,30,Low,Project delayed by 39 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1033,CAPEX-1033,Expedite B2C Infrastructures,Plant C,30,Low,Project delayed by 113 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1138,CAPEX-1138,Synthesize Innovative Relationships,HQ,30,Low,Project delayed by 118 days; Low ROI -6.0%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1203,CAPEX-1203,Generate Rich Functionalities,HQ,30,Low,Project delayed by 83 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1153,CAPEX-1153,Aggregate World-Class Mindshare,Plant B,30,Low,Project delayed by 62 days; Low ROI -9.0%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1152,CAPEX-1152,Re-Contextualize Proactive E-Services,Plant B,30,Low,Project delayed by 37 days; Low ROI 4.0%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1135,CAPEX-1135,Architect Back-End Niches,HQ,30,Low,Project delayed by 40 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1155,CAPEX-1155,Seize Real-Time Initiatives,HQ,30,Low,Project delayed by 94 days; Low ROI 4.8%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1157,CAPEX-1157,Morph Vertical Users,Plant C,30,Low,Project delayed by 97 days; Low ROI -2.0%,Review delivery plan and capitalization timing; Revalidate the business case,14160.2,Open
EX-CAPEX-1013,CAPEX-1013,Productize 24/365 Infrastructures,HQ,30,Low,Project delayed by 74 days; Low ROI 1.5%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1072,CAPEX-1072,Implement World-Class Supply-Chains,Plant B,30,Low,Project delayed by 47 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1200,CAPEX-1200,Expedite Compelling Action-Items,Plant A,30,Low,Project delayed by 51 days; Low ROI 0.3%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1070,CAPEX-1070,Empower World-Class Relationships,Plant A,30,Low,Project delayed by 35 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1069,CAPEX-1069,Streamline Bleeding-Edge Schemas,Plant B,30,Low,Project delayed by 43 days; Low ROI -9.3%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1009,CAPEX-1009,Synthesize Back-End Interfaces,Plant B,30,Low,Project delayed by 86 days; Low ROI -8.2%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1169,CAPEX-1169,Re-Contextualize Efficient Web-Readiness,Plant A,30,Low,Project delayed by 119 days; Low ROI -1.0%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1166,CAPEX-1166,Envisioneer Dynamic E-Tailers,Plant B,30,Low,Project delayed by 73 days; Low ROI 4.7%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1137,CAPEX-1137,Repurpose World-Class Models,HQ,30,Low,Project delayed by 50 days; Low ROI 3.7%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
