project_id,project_name,location,approved_budget,actual_spend,approval_flag,capitalization_rule,start_date,planned_end_date,actual_end_date,expected_roi,supporting_docs_flag
CAPEX-1044,Facilitate Virtual Roi,Plant A,75283.0,50484.4,0,Review Required,2026-04-06,2026-06-15,2026-08-20,-0.047,1
CAPEX-1045,Re-Contextualize 24/7 Initiatives,HQ,484280.0,682510.91,1,Capitalize,2026-03-31,2026-08-14,2026-10-30,0.262,1
CAPEX-1046,Implement Customized Systems,Plant C,225385.0,126001.35,1,Capitalize,2025-07-05,2026-01-26,2026-03-05,-0.068,1
CAPEX-1047,Expedite End-To-End Web-Readiness,Plant C,465307.0,355902.39,1,Capitalize,2025-10-24,2026-06-29,2026-08-05,0.034,1
CAPEX-1048,Re-Contextualize Intuitive Action-Items,Plant C,50531.0,57688.67,1,Capitalize,2026-04-10,2026-11-06,2026-10-27,0.301,1
CAPEX-1049,Reinvent Cross-Platform Synergies,Plant A,444480.0,625019.56,1,Expense,2025-05-06,2026-01-02,2026-04-03,-0.058,1
CAPEX-1050,Architect E-Business Paradigms,Plant B,499877.0,463678.32,1,Capitalize,2026-04-16,2026-07-31,2026-09-01,0.055,1
CAPEX-1051,Architect Visionary Content,Plant A,193138.0,143397.71,1,Capitalize,2025-06-12,2025-09-25,2026-01-22,0.297,0
CAPEX-1052,Disintermediate Clicks-And-Mortar Interfaces,Plant C,79460.0,25066.58,1,Capitalize,2025-11-04,2026-01-31,2026-05-28,0.018,1
CAPEX-1053,Transition Intuitive Markets,Plant C,99272.0,120480.18,1,Capitalize,2025-09-16,2026-03-27,2026-03-19,0.349,0
CAPEX-1054,Orchestrate Dynamic Web-Readiness,Plant B,271418.0,128192.41,1,Expense,2025-07-15,2026-02-19,2026-02-20,0.185,0
CAPEX-1055,Re-Contextualize Dynamic Action-Items,Plant B,127030.0,65608.26,1,Expense,2025-08-05,2026-03-03,2026-02-27,0.218,1
CAPEX-1056,Unleash Dot-Com Vortals,Plant B,412151.0,578752.03,1,Capitalize,2025-09-16,2026-02-05,2026-03-31,0.332,1
CAPEX-1057,Brand Clicks-And-Mortar Solutions,Plant C,31119.0,44825.14,1,Expense,2025-05-21,2026-01-13,2026-03-22,0.247,1
CAPEX-1058,Optimize Rich Niches,Plant B,378927.0,397462.39,1,Expense,2025-06-19,2025-08-01,2025-07-24,0.15,1
CAPEX-1059,Syndicate Value-Added Supply-Chains,HQ,144614.0,101763.68,1,Capitalize,2025-05-04,2025-07-08,2025-09-07,0.171,1
CAPEX-1060,Disintermediate Leading-Edge Mindshare,Plant C,269682.0,117768.07,1,Expense,2026-04-21,2026-06-20,2026-10-06,0.174,1
CAPEX-1061,Re-Intermediate Vertical Infrastructures,Plant B,54662.0,76004.11,1,Capitalize,2025-10-30,2026-04-03,2026-04-05,-0.045,1
CAPEX-1062,Embrace Scalable Initiatives,HQ,449961.0,375034.03,1,Capitalize,2025-11-05,2026-04-03,2026-05-14,0.321,0
CAPEX-1063,Incubate Customized Markets,Plant A,147165.0,173049.62,1,Expense,2025-10-29,2025-12-26,2025-12-20,0.315,1
CAPEX-1064,Innovate Front-End Markets,Plant B,494423.0,247387.98,1,Capitalize,2026-03-30,2026-07-16,2026-10-20,0.197,1
CAPEX-1065,Repurpose Robust Relationships,Plant A,327188.0,81623.73,1,Expense,2025-09-24,2026-02-27,2026-06-13,0.186,1
CAPEX-1066,Drive Viral Channels,Plant A,485896.0,456199.8,1,Expense,2025-06-27,2025-09-17,2025-09-21,0.187,1
CAPEX-1067,Morph Magnetic Applications,Plant B,379115.0,163080.43,1,Capitalize,2025-05-22,2025-06-30,2025-08-23,0.054,1
CAPEX-1068,Generate One-To-One Synergies,Plant A,339906.0,312975.5,1,Capitalize,2025-08-18,2025-12-22,2026-02-14,0.299,1
CAPEX-1069,Streamline Bleeding-Edge Schemas,Plant B,212403.0,196588.44,1,Capitalize,2025-06-21,2025-10-12,2025-11-24,-0.093,1
CAPEX-1070,Empower World-Class Relationships,Plant A,264800.0,188123.31,1,Review Required,2026-01-27,2026-07-12,2026-08-16,0.157,1
CAPEX-1071,Harness Scalable E-Services,Plant B,93797.0,96685.96,1,Capitalize,2025-11-19,2026-02-27,2026-03-26,0.24,1
CAPEX-1072,Implement World-Class Supply-Chains,Plant B,286861.0,142796.59,1,Review Required,2026-03-13,2026-09-22,2026-11-08,0.171,1
CAPEX-1073,Deliver Open-Source E-Tailers,Plant B,475398.0,271024.9,1,Capitalize,2026-05-02,2026-07-28,2026-11-03,0.068,1
CAPEX-1074,Evolve Integrated E-Markets,Plant B,263267.0,168617.07,1,Capitalize,2026-02-23,2026-06-11,2026-10-05,0.1,1
CAPEX-1075,Brand Granular Relationships,Plant A,319283.0,112912.64,1,Capitalize,2025-07-20,2025-12-28,2026-03-03,0.241,1
CAPEX-1076,Maximize Revolutionary Models,Plant A,483367.0,356057.94,1,Capitalize,2026-04-20,2026-09-10,2027-01-01,0.168,1
CAPEX-1077,Repurpose Strategic Experiences,HQ,66064.0,64326.03,1,Capitalize,2026-04-06,2026-11-30,2027-03-01,-0.002,1
CAPEX-1078,Whiteboard Revolutionary E-Commerce,Plant A,345349.0,202638.85,1,Expense,2026-02-25,2026-10-22,2026-12-31,0.038,1
CAPEX-1079,Engage Cutting-Edge Supply-Chains,Plant C,49232.0,39414.79,1,Capitalize,2025-05-29,2025-10-21,2025-10-24,-0.012,1
CAPEX-1080,Disintermediate Turn-Key Models,Plant C,218816.0,117127.15,1,Capitalize,2025-12-11,2026-02-12,2026-02-05,0.263,0
CAPEX-1081,Unleash Seamless Infrastructures,HQ,252760.0,289113.89,1,Capitalize,2026-01-24,2026-04-12,2026-03-25,0.279,1
CAPEX-1082,Synergize Out-Of-The-Box Applications,Plant A,436483.0,146144.17,1,Capitalize,2026-05-05,2026-09-23,2026-10-06,0.256,1
CAPEX-1083,Strategize Extensible Functionalities,Plant B,36702.0,10474.88,1,Capitalize,2026-04-05,2026-11-15,2027-01-06,-0.085,0
CAPEX-1084,Productize E-Business Platforms,HQ,271842.0,341426.71,0,Capitalize,2026-04-18,2026-06-27,2026-08-02,0.251,1
CAPEX-1085,Reinvent Killer Platforms,Plant C,49785.0,50084.12,1,Capitalize,2025-08-15,2025-09-20,2025-10-09,-0.065,1
CAPEX-1086,Aggregate Value-Added Communities,Plant A,234563.0,248745.69,1,Capitalize,2026-01-31,2026-08-22,2026-12-02,0.172,1
CAPEX-1087,Re-Contextualize Extensible Models,Plant B,125815.0,181376.8,1,Expense,2026-04-04,2026-09-03,2026-12-09,0.309,0
CAPEX-1088,Re-Intermediate Robust E-Business,Plant C,363991.0,234573.59,1,Expense,2025-12-17,2026-02-13,2026-05-07,0.277,1
CAPEX-1089,Brand Cross-Media Functionalities,Plant A,115081.0,92908.93,1,Expense,2025-06-28,2026-02-19,2026-05-22,0.162,1
CAPEX-1090,Incubate Synergistic Info-Mediaries,HQ,370158.0,183209.95,1,Review Required,2026-02-28,2026-09-22,2027-01-19,0.082,1
CAPEX-1091,Deploy End-To-End Platforms,Plant C,481692.0,549397.27,1,Capitalize,2026-01-18,2026-08-09,2026-10-03,0.176,1
CAPEX-1092,Implement Distributed E-Markets,Plant A,82067.0,90356.84,1,Expense,2026-02-15,2026-09-16,2026-09-19,-0.094,0
CAPEX-1093,Expedite World-Class Architectures,Plant C,41515.0,50062.13,0,Capitalize,2025-05-08,2025-10-09,2025-12-09,0.037,1
CAPEX-1094,Seize Granular E-Business,Plant A,328655.0,462987.66,1,Capitalize,2025-08-05,2025-12-16,2026-01-05,0.036,1
CAPEX-1095,Harness Vertical E-Business,Plant C,16152.0,22906.6,1,Capitalize,2026-03-28,2026-11-19,2027-02-03,0.011,1
CAPEX-1096,Revolutionize Innovative Action-Items,Plant A,32882.0,45526.54,0,Capitalize,2026-02-02,2026-06-28,2026-10-07,-0.085,1
CAPEX-1097,Grow Cutting-Edge E-Markets,HQ,179445.0,124973.15,1,Expense,2025-08-15,2026-01-26,2026-03-14,0.25,1
CAPEX-1098,Whiteboard Compelling E-Markets,Plant A,136211.0,155779.69,0,Capitalize,2026-04-18,2026-12-13,2026-12-05,0.088,1
CAPEX-1099,Generate Customized Portals,HQ,487902.0,558835.71,1,Capitalize,2025-06-18,2025-09-10,2025-12-21,0.168,1
CAPEX-1100,Benchmark Mission-Critical Content,HQ,446832.0,537384.47,1,Capitalize,2026-01-22,2026-06-19,2026-07-26,0.189,1
CAPEX-1101,Transition Integrated Partnerships,HQ,453963.0,231936.57,0,Capitalize,2026-04-26,2026-10-31,2026-11-25,0.254,1
CAPEX-1102,Embrace Wireless Relationships,Plant B,87703.0,97246.9,1,Capitalize,2026-05-07,2026-10-29,2026-10-29,0.215,1
CAPEX-1103,Embrace Compelling Technologies,Plant A,53424.0,12304.97,1,Review Required,2025-05-08,2025-09-28,2025-12-26,-0.006,1
CAPEX-1104,Engage 24/365 Partnerships,Plant B,457951.0,431894.14,0,Capitalize,2026-03-09,2026-08-22,2026-10-20,0.11,1
CAPEX-1105,Leverage Proactive Interfaces,Plant A,184807.0,100317.63,1,Capitalize,2025-12-15,2026-08-01,2026-11-10,0.096,1
CAPEX-1106,Disintermediate Efficient Paradigms,HQ,164519.0,114534.4,1,Review Required,2026-01-19,2026-03-11,2026-04-20,-0.005,1
CAPEX-1107,Deploy User-Centric Schemas,Plant A,428804.0,412620.9,1,Capitalize,2025-05-23,2025-11-28,2026-02-13,0.191,0
CAPEX-1108,Exploit Viral Applications,HQ,463933.0,304421.72,1,Capitalize,2026-01-25,2026-06-09,2026-08-08,-0.081,1
CAPEX-1109,Synergize Cross-Platform Eyeballs,HQ,444480.0,582095.27,1,Capitalize,2026-03-16,2026-08-03,2026-08-08,0.335,1
CAPEX-1110,Optimize User-Centric E-Commerce,HQ,375850.0,503283.81,0,Capitalize,2026-02-04,2026-09-27,2027-01-16,0.294,0
CAPEX-1111,Transition Distributed Markets,Plant A,72749.0,62786.23,1,Capitalize,2025-11-08,2026-01-23,2026-05-11,0.053,1
CAPEX-1112,Engineer Integrated Web-Readiness,Plant B,196261.0,244568.05,1,Capitalize,2025-08-13,2026-02-27,2026-03-23,0.232,1
CAPEX-1113,Mesh Virtual Initiatives,HQ,448450.0,319489.49,1,Capitalize,2025-12-21,2026-03-08,2026-03-02,0.144,1
CAPEX-1114,Evolve E-Business Deliverables,Plant C,329712.0,379593.16,1,Capitalize,2026-04-26,2026-12-27,2027-04-23,0.18,1
CAPEX-1115,Empower Transparent Applications,HQ,223443.0,275454.27,0,Capitalize,2025-10-31,2026-05-17,2026-09-02,0.032,1
CAPEX-1116,Empower Bleeding-Edge Networks,Plant B,324973.0,414035.2,1,Expense,2025-11-27,2026-02-06,2026-02-05,0.285,1
CAPEX-1117,Extend Visionary Niches,Plant A,48447.0,68852.52,1,Review Required,2026-01-19,2026-06-02,2026-09-26,0.259,1
CAPEX-1118,Facilitate Strategic Infrastructures,HQ,265130.0,326327.48,1,Expense,2025-12-20,2026-08-06,2026-09-13,0.198,1
CAPEX-1119,Re-Contextualize B2B Web Services,HQ,277438.0,256924.92,1,Capitalize,2025-06-06,2025-08-26,2025-11-27,-0.038,1
CAPEX-1120,Deliver Web-Enabled E-Tailers,HQ,235069.0,84762.89,1,Expense,2026-01-21,2026-07-19,2026-08-01,0.003,1
CAPEX-1121,Synthesize Compelling Paradigms,Plant B,159667.0,203290.47,1,Review Required,2025-07-17,2025-11-01,2025-11-24,0.169,1
CAPEX-1122,Re-Intermediate 24/365 Mindshare,Plant B,413528.0,309248.6,1,Capitalize,2025-08-25,2026-01-10,2026-04-03,0.142,1
CAPEX-1123,Iterate Bleeding-Edge Paradigms,Plant A,472482.0,111993.86,1,Capitalize,2025-11-27,2026-04-26,2026-08-20,0.002,1
CAPEX-1124,Engineer Scalable Channels,Plant B,61003.0,22473.94,1,Capitalize,2025-06-19,2025-09-07,2025-10-04,0.137,1
CAPEX-1125,Engage Customized Convergence,Plant A,294527.0,83126.63,1,Capitalize,2025-07-12,2025-12-01,2026-01-25,0.298,0
CAPEX-1126,Grow Cross-Platform Experiences,Plant B,339680.0,454926.97,1,Capitalize,2025-09-27,2026-05-15,2026-09-10,0.089,1
CAPEX-1127,Empower Dot-Com E-Tailers,Plant B,222878.0,205272.93,1,Capitalize,2025-08-15,2025-09-29,2025-10-21,0.1,0
CAPEX-1128,Cultivate One-To-One Networks,Plant A,271949.0,253254.57,0,Capitalize,2025-12-08,2026-02-09,2026-01-24,0.279,1
CAPEX-1129,Enhance Vertical Relationships,Plant C,288336.0,403834.12,1,Capitalize,2025-06-17,2025-08-30,2025-12-26,0.234,0
CAPEX-1130,Strategize Customized Networks,Plant B,444465.0,489642.34,1,Capitalize,2026-05-02,2026-09-24,2026-10-08,-0.055,1
CAPEX-1131,Engineer Value-Added Models,Plant A,224299.0,111492.96,1,Expense,2025-09-28,2026-03-02,2026-05-19,0.326,1
CAPEX-1132,Aggregate Interactive Convergence,Plant C,126494.0,103218.27,1,Capitalize,2026-01-18,2026-06-01,2026-06-28,0.162,1
CAPEX-1133,Synthesize Interactive Communities,Plant A,175239.0,89927.0,0,Capitalize,2025-07-19,2026-01-23,2026-05-14,0.031,1
CAPEX-1134,Benchmark Vertical E-Markets,HQ,496624.0,358198.15,1,Capitalize,2025-05-20,2025-09-13,2026-01-01,0.003,0
CAPEX-1135,Architect Back-End Niches,HQ,255948.0,185172.21,1,Review Required,2025-09-25,2026-03-13,2026-04-22,0.162,1
CAPEX-1136,Implement Distributed Functionalities,Plant B,59651.0,22967.69,1,Expense,2025-06-18,2026-01-06,2026-02-08,0.138,1
CAPEX-1137,Repurpose World-Class Models,HQ,141631.0,116648.62,1,Capitalize,2025-11-28,2026-05-19,2026-07-08,0.037,1
CAPEX-1138,Synthesize Innovative Relationships,HQ,362375.0,252692.7,1,Capitalize,2025-12-02,2026-04-28,2026-08-24,-0.06,1
CAPEX-1139,Leverage Dynamic Communities,HQ,363475.0,203898.45,1,Capitalize,2026-01-27,2026-07-31,2026-09-27,0.274,0
CAPEX-1140,Engage Bleeding-Edge Methodologies,Plant A,185534.0,230021.09,1,Capitalize,2025-05-08,2025-08-14,2025-08-18,0.238,1
CAPEX-1141,Unleash Turn-Key E-Tailers,HQ,53302.0,74296.58,1,Expense,2025-06-13,2025-10-15,2025-09-29,-0.034,1
CAPEX-1142,Innovate Ubiquitous Applications,Plant A,495470.0,259506.43,1,Capitalize,2026-04-16,2026-06-11,2026-06-22,-0.025,1
CAPEX-1143,Grow B2C Interfaces,Plant A,273656.0,246024.65,1,Capitalize,2026-05-07,2026-06-09,2026-08-20,0.227,1
CAPEX-1144,Evolve Virtual Content,Plant A,207960.0,162287.96,1,Capitalize,2026-03-23,2026-11-20,2026-12-22,0.343,0
CAPEX-1145,Expedite Intuitive Deliverables,Plant B,446042.0,275670.08,1,Capitalize,2025-08-30,2026-03-31,2026-03-17,0.33,1
CAPEX-1146,Facilitate Leading-Edge Metrics,Plant B,182633.0,57165.75,1,Expense,2025-09-16,2026-04-08,2026-05-16,0.181,0
CAPEX-1147,Streamline Efficient E-Markets,HQ,46771.0,26549.08,1,Capitalize,2025-10-15,2025-11-14,2025-11-30,-0.039,1
CAPEX-1148,Maximize Cutting-Edge Convergence,HQ,67007.0,19792.7,1,Capitalize,2026-03-26,2026-09-18,2026-12-29,-0.002,0
CAPEX-1149,Synthesize Transparent Platforms,Plant A,173376.0,37032.5,1,Expense,2025-06-08,2026-01-26,2026-01-20,0.317,1
CAPEX-1150,Transform Seamless Action-Items,Plant B,108889.0,78276.83,1,Expense,2026-05-20,2026-12-23,2027-02-26,0.321,1
CAPEX-1151,Re-Contextualize Value-Added Markets,Plant B,366302.0,236384.74,1,Expense,2025-07-25,2025-10-22,2025-11-28,0.242,1
CAPEX-1152,Re-Contextualize Proactive E-Services,Plant B,219211.0,88630.65,1,Expense,2025-09-17,2026-03-08,2026-04-14,0.04,1
CAPEX-1153,Aggregate World-Class Mindshare,Plant B,394873.0,90970.77,1,Capitalize,2025-06-24,2026-01-18,2026-03-21,-0.09,1
CAPEX-1154,Disintermediate Extensible Platforms,Plant C,28947.0,12117.27,1,Expense,2025-05-11,2025-10-14,2025-10-18,0.144,1
CAPEX-1155,Seize Real-Time Initiatives,HQ,112370.0,83428.89,1,Expense,2025-11-19,2026-04-21,2026-07-24,0.048,1
CAPEX-1156,Synthesize Intuitive Roi,Plant B,286844.0,284074.52,1,Capitalize,2026-04-29,2026-08-29,2026-09-04,0.203,1
CAPEX-1157,Morph Vertical Users,Plant C,223148.0,237308.2,1,Capitalize,2026-01-30,2026-05-28,2026-09-02,-0.02,1
CAPEX-1158,Harness E-Business E-Markets,Plant B,374342.0,332384.78,1,Capitalize,2026-04-07,2026-09-07,2026-11-14,0.121,1
CAPEX-1159,Harness Ubiquitous Relationships,Plant C,272766.0,344834.52,1,Capitalize,2025-10-15,2026-03-27,2026-06-16,0.211,1
CAPEX-1160,Enhance Cross-Media Applications,Plant A,47327.0,44450.07,1,Capitalize,2025-06-08,2025-11-28,2025-11-14,-0.005,1
CAPEX-1161,Scale 24/365 Experiences,Plant B,123383.0,75128.47,1,Capitalize,2025-05-14,2025-12-01,2026-01-15,0.349,1
CAPEX-1162,Cultivate Distributed Eyeballs,HQ,336014.0,345322.17,1,Expense,2026-01-19,2026-08-14,2026-10-22,0.311,1
CAPEX-1163,Innovate End-To-End Roi,HQ,462090.0,161634.39,1,Review Required,2025-07-04,2025-10-28,2025-11-25,0.059,0
CAPEX-1164,Generate Granular E-Business,HQ,204819.0,69776.43,0,Capitalize,2026-05-04,2026-10-19,2027-01-06,0.169,1
CAPEX-1165,Expedite Cross-Media Technologies,Plant B,194263.0,204803.22,1,Capitalize,2025-08-27,2025-11-27,2025-12-17,0.295,0
CAPEX-1166,Envisioneer Dynamic E-Tailers,Plant B,276890.0,122799.56,1,Capitalize,2025-09-16,2026-05-11,2026-07-23,0.047,1
CAPEX-1167,Embrace Bricks-And-Clicks E-Commerce,HQ,397932.0,519136.19,1,Expense,2025-09-06,2025-12-31,2026-01-10,0.092,1
CAPEX-1168,Envisioneer Value-Added Initiatives,HQ,251236.0,186138.95,1,Review Required,2026-01-13,2026-08-06,2026-12-03,0.344,1
CAPEX-1169,Re-Contextualize Efficient Web-Readiness,Plant A,27963.0,19067.4,1,Capitalize,2025-07-13,2025-09-28,2026-01-25,-0.01,1
CAPEX-1170,Syndicate Best-Of-Breed Eyeballs,HQ,328587.0,334353.32,1,Expense,2025-12-19,2026-02-21,2026-03-30,0.338,1
CAPEX-1171,Utilize Sticky Systems,Plant A,457343.0,91476.24,1,Review Required,2025-12-25,2026-07-10,2026-07-04,0.162,1
CAPEX-1172,Embrace Robust Relationships,Plant C,468536.0,470360.27,1,Review Required,2025-07-25,2026-01-01,2026-02-26,0.035,1
CAPEX-1173,Syndicate Visionary Models,HQ,132565.0,38964.38,1,Capitalize,2025-11-16,2026-06-20,2026-09-07,0.072,1
CAPEX-1174,Integrate World-Class Roi,Plant B,383756.0,289300.64,1,Capitalize,2026-05-17,2027-01-10,2027-02-06,-0.036,1
CAPEX-1175,Target Back-End Metrics,HQ,65334.0,43719.21,1,Capitalize,2025-10-28,2026-03-31,2026-06-11,0.327,1
CAPEX-1176,Cultivate Bricks-And-Clicks Portals,HQ,208773.0,183189.5,1,Capitalize,2025-07-05,2025-12-08,2026-03-02,0.051,1
CAPEX-1177,Empower Enterprise Schemas,Plant C,491011.0,154204.71,1,Capitalize,2026-05-04,2026-06-10,2026-05-24,-0.079,1
CAPEX-1178,Re-Contextualize Vertical Models,HQ,17429.0,8061.62,0,Expense,2025-05-13,2025-11-06,2026-01-16,0.011,1
CAPEX-1179,Target Back-End Networks,Plant B,412623.0,117782.18,1,Capitalize,2026-01-20,2026-03-14,2026-05-26,0.076,1
CAPEX-1180,Reinvent Rich Markets,Plant C,53156.0,46441.24,1,Capitalize,2026-03-06,2026-10-27,2026-12-06,-0.072,0
CAPEX-1181,Reinvent Leading-Edge Portals,Plant C,374220.0,102396.25,1,Capitalize,2025-07-14,2026-02-10,2026-02-03,0.3,1
CAPEX-1182,Empower E-Business Web-Readiness,Plant C,237743.0,299798.18,1,Capitalize,2025-06-24,2025-08-13,2025-08-31,0.048,1
CAPEX-1183,Visualize One-To-One E-Markets,Plant A,350029.0,283528.35,1,Review Required,2025-06-27,2025-10-30,2026-01-25,-0.029,1
CAPEX-1184,Embrace Robust Markets,HQ,295735.0,390412.95,1,Capitalize,2025-10-09,2026-02-27,2026-05-11,0.125,1
CAPEX-1185,Empower Innovative Models,HQ,318216.0,281361.04,1,Capitalize,2025-06-23,2025-12-26,2026-04-19,0.193,1
CAPEX-1186,Exploit Bleeding-Edge Bandwidth,Plant B,11804.0,5832.01,1,Capitalize,2026-01-16,2026-08-19,2026-09-06,0.097,1
CAPEX-1187,Streamline 24/7 Initiatives,Plant B,274994.0,222353.14,1,Expense,2026-05-07,2026-06-12,2026-07-19,-0.078,1
CAPEX-1188,Transform Cross-Media Channels,Plant B,76452.0,64412.66,1,Capitalize,2025-07-20,2026-03-07,2026-06-12,0.072,0
CAPEX-1189,Utilize Scalable Partnerships,Plant A,107672.0,85550.45,1,Capitalize,2026-04-06,2026-07-20,2026-10-26,0.198,1
CAPEX-1190,Extend Intuitive Networks,Plant C,458693.0,548373.05,1,Capitalize,2025-05-17,2025-10-03,2025-10-11,0.006,1
